Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Rotational Velocity (deg/s),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,74.0,162.0,12.0,0.0,0,0.0,74.0,162.0,12.0,0.0,3.0,0.0
1.0,0.08064487224461817,74.0,161.0,12.80008888765361,0.0,0,0.0,74.0,130.0,36.0,0.0,10.0,0
2.0,0.15640168279251954,74.0,160.0,13.60017777530722,0.0,0,0.0,170.0,130.0,192.0,0.0,3.0,0
3.0,0.22782912046799483,74.0,159.0,14.40026666296083,0.0,0,0.0,230.0,130.0,0.0,0.0,3.0,0
4.0,0.295395267745898,74.0,158.0,15.20035555061444,0.0,0,0.0,,,,,,
5.0,0.35949618825795676,74.0,157.0,16.00044443826805,0.0,0,0.0,,,,,,
6.0,0.42046998039239397,74.0,156.0,16.800533325921663,0.0,0,0.0,,,,,,
7.0,0.47860756236122476,74.0,155.0,17.600622213575274,0.0,0,-0.0,,,,,,
8.0,0.5341610604084089,74.0,154.0,18.400711101228886,0.0,0,-0.0,,,,,,
9.0,0.5873504121662954,74.0,153.0,19.200799988882498,0.0,0,-0.0,,,,,,
10.0,0.6383686222966318,74.0,152.0,20.00088887653611,0.0,0,-0.0,,,,,,
11.0,0.6873859875463807,74.0,151.0,20.80097776418972,0.0,0,-0.0,,,,,,
12.0,0.7345535245730567,74.0,150.0,21.601066651843333,0.0,0,-0.0,,,,,,
13.0,0.7800057744913257,74.0,149.0,22.401155539496944,0.0,0,-0.0,,,,,,
14.0,0.823863115365112,74.0,148.0,23.201244427150556,0.0,0,-0.0,,,,,,
15.0,0.8662336827297489,74.0,147.0,24.001333314804167,0.0,0,-0.0,,,,,,
16.0,0.9072149752572288,74.0,146.0,24.80142220245778,0.0,0,0.0,,,,,,
17.0,0.9468952055404702,74.0,145.0,25.60151109011139,0.0,0,0.0,,,,,,
18.0,0.9853544430539629,74.0,144.0,26.401599977765002,0.0,0,0.0,,,,,,
19.0,1.0226655865147867,74.0,143.0,27.201688865418614,0.0,0,0.0,,,,,,
20.0,1.0588951953149355,74.0,142.0,28.001777753072226,0.0,0,0.0,,,,,,
21.0,1.0941042038450002,74.0,141.0,28.801866640725837,0.0,0,0.0,,,,,,
22.0,1.128348537960824,74.0,140.0,29.60195552837945,0.0,0,0.0,,,,,,
22.99958338541357,1.161665948105618,74.04995834721974,139.00166583353172,30.40171108733202,0.0,0,0.0,,,,,,
23.999166770827138,1.1941182800205705,74.19933422158758,138.01330669204938,31.201466646284594,0.0,0,0.0,,,,,,
24.998750156240703,1.225749319888568,74.44663510874395,137.0447979333866,32.00122220523716,0.0,0,0.0,,,,,,
25.99833354165427,1.2565996115726517,74.78939005997115,136.1058165769135,32.80097776418973,0.0,0,0.0,,,,,,
26.997916927067845,1.2867067690252334,75.22417438109628,135.20574461395796,33.60073332314231,0.0,0,0.0,,,,,,
27.997500312481414,1.316105751955178,75.74664385090321,134.35357526604963,34.40048888209488,0.0,0,0.0,,,,,,
28.997083697894972,1.3448291098190295,76.35157812715512,133.5578231276231,35.200244441047445,0.0,0,0.0,,,,,,
29.996667083308537,1.3727238812597489,77.03293290652834,132.82643909100477,36.46790939472269,0.0,0,0.0,,,,,,
30.996250468722117,1.3996655647223195,77.78390031729336,132.16673090372515,37.735574348397954,0.0,0,0.0,,,,,,
31.995833854135668,1.4257171372672495,78.5969769413186,131.58529015192104,39.00323930207318,0.0,0,0.0,,,,,,
32.995417239549234,1.4509355335955423,79.46403878574422,131.08792639938565,40.27090425574843,0.0,0,0.0,,,,,,
33.9950006249628,1.4753723950756277,80.37642245523325,130.67960914032773,41.53856920942367,0.0,0,0.0,,,,,,
34.99458401037636,1.4990747061948733,81.32501171375411,130.36441814582807,42.80623416309891,0.0,0,0.0,,,,,,
35.99416739578993,1.5220853381466808,82.30032857099758,130.1455027001154,44.07389911677416,0.0,0,0.0,,,,,,
36.99416739578993,1.5444527018102152,83.30032857099758,130.1455027001154,45.342092418277225,0.0,0,0.0,,,,,,
37.99416739578993,1.5662030908757072,84.30032857099758,130.1455027001154,46.61028571978029,0.0,0,0.0,,,,,,
38.99416739578993,1.5873696285638734,85.30032857099758,130.1455027001154,47.87847902128336,0.0,0,0.0,,,,,,
39.99416739578993,1.607982840419711,86.30032857099758,130.1455027001154,49.14667232278643,0.0,0,0.0,,,,,,
40.99416739578993,1.6280709190215414,87.30032857099758,130.1455027001154,50.4148656242895,0.0,0,0.0,,,,,,
41.99416739578993,1.6476599558096394,88.30032857099758,130.1455027001154,51.683058925792565,0.0,0,0.0,,,,,,
42.99416739578993,1.6667741448166644,89.30032857099758,130.1455027001154,52.95125222729563,0.0,0,0.0,,,,,,
43.99416739578993,1.6854359622898671,90.30032857099758,130.1455027001154,54.2194455287987,0.0,0,0.0,,,,,,
44.99416739578993,1.7036663255493032,91.30032857099758,130.1455027001154,55.48763883030177,0.0,0,0.0,,,,,,
45.99416739578993,1.7214847338973058,92.30032857099758,130.1455027001154,56.75583213180484,0.0,0,0.0,,,,,,
46.99416739578993,1.7389093939589846,93.30032857099758,130.1455027001154,58.024025433307905,0.0,0,0.0,,,,,,
47.99416739578993,1.755957331473366,94.30032857099758,130.1455027001154,59.29221873481097,0.0,0,-0.0,,,,,,
48.99416739578993,1.7726444912556096,95.30032857099758,130.1455027001154,60.56041203631404,0.0,0,-0.0,,,,,,
49.99416739578993,1.788985826801153,96.30032857099758,130.1455027001154,61.82860533781711,0.0,0,-0.0,,,,,,
50.99416739578993,1.8049953807935981,97.30032857099758,130.1455027001154,63.09679863932018,0.0,0,-0.0,,,,,,
51.99416739578993,1.820686357602389,98.30032857099758,130.1455027001154,64.36499194082324,0.0,0,-0.0,,,,,,
52.99416739578993,1.8360711887079997,99.30032857099758,130.1455027001154,65.63318524232632,0.0,0,-0.0,,,,,,
53.99416739578993,1.8511615918667335,100.30032857099758,130.1455027001154,66.9013785438294,0.0,0,-0.0,,,,,,
54.99416739578993,1.8659686247204867,101.30032857099758,130.1455027001154,68.16957184533247,0.0,0,-0.0,,,,,,
55.99416739578993,1.8805027334658209,102.30032857099758,130.1455027001154,69.43776514683555,0.0,0,-0.0,,,,,,
56.99416739578993,1.8947737971188554,103.30032857099758,130.1455027001154,70.70595844833862,0.0,0,-0.0,,,,,,
57.99416739578993,1.9087911678457354,104.30032857099758,130.1455027001154,71.9741517498417,0.0,0,-0.0,,,,,,
58.99416739578993,1.9225637077709905,105.30032857099758,130.1455027001154,73.24234505134477,0.0,0,-0.0,,,,,,
59.99416739578993,1.9360998226265551,106.30032857099758,130.1455027001154,74.51053835284785,0.0,0,-0.0,,,,,,
60.99416739578993,1.9494074925613696,107.30032857099758,130.1455027001154,75.77873165435092,0.0,0,-0.0,,,,,,
61.99416739578993,1.9624943003943054,108.30032857099758,130.1455027001154,77.046924955854,0.0,0,-0.0,,,,,,
62.99416739578993,1.9753674575608553,109.30032857099758,130.1455027001154,78.31511825735707,0.0,0,-0.0,,,,,,
63.99416739578993,1.9880338279758611,110.30032857099758,130.1455027001154,79.58331155886015,0.0,0,-0.0,,,,,,
64.99416739578993,2.0004999500099583,111.30032857099758,130.1455027001154,80.85150486036322,0.0,0,-0.0,,,,,,
65.99416739578993,2.0127720567558796,112.30032857099758,130.1455027001154,82.1196981618663,0.0,0,-0.0,,,,,,
66.99416739578993,2.0248560947418635,113.30032857099758,130.1455027001154,83.38789146336937,0.0,0,-0.0,,,,,,
67.99416739578993,2.0367577412328006,114.30032857099758,130.1455027001154,84.65608476487245,0.0,0,-0.0,,,,,,
68.99416739578993,2.048482420245112,115.30032857099758,130.1455027001154,85.92427806637552,0.0,0,-0.0,,,,,,
69.99416739578993,2.060035317388433,116.30032857099758,130.1455027001154,87.1924713678786,0.0,0,-0.0,,,,,,
70.99416739578993,2.0714213936357466,117.30032857099758,130.1455027001154,88.46066466938167,0.0,0,-0.0,,,,,,
71.99416739578993,2.0826453981134825,118.30032857099758,130.1455027001154,89.72885797088475,0.0,0,-0.0,,,,,,
72.99416739578993,2.093711879994107,119.30032857099758,130.1455027001154,90.99705127238782,0.0,0,-0.0,,,,,,
73.99416739578993,2.104625199565731,120.30032857099758,130.1455027001154,92.2652445738909,0.0,0,-0.0,,,,,,
74.99416739578993,2.1153895385461534,121.30032857099758,130.1455027001154,93.53343787539397,0.0,0,0.0,,,,,,
75.99416739578993,2.1260089097023807,122.30032857099758,130.1455027001154,94.80163117689705,0.0,0,0.0,,,,,,
76.99416739578993,2.1364871658310074,123.30032857099758,130.1455027001154,96.06982447840012,0.0,0,0.0,,,,,,
77.99416739578993,2.146828008149743,124.30032857099758,130.1455027001154,97.3380177799032,0.0,0,0.0,,,,,,
78.99416739578993,2.1570349941458224,125.30032857099758,130.1455027001154,98.60621108140627,0.0,0,0.0,,,,,,
79.99416739578993,2.1671115449229412,126.30032857099758,130.1455027001154,99.87440438290935,0.0,0,0.0,,,,,,
80.99416739578993,2.177060952084681,127.30032857099758,130.1455027001154,101.14259768441242,0.0,0,0.0,,,,,,
81.99416739578993,2.186886384189077,128.30032857099758,130.1455027001154,102.4107909859155,0.0,0,0.0,,,,,,
82.99416739578993,2.1965908928060007,129.30032857099758,130.1455027001154,103.67898428741857,0.0,0,0.0,,,,,,
83.99416739578993,2.2061774182063263,130.30032857099758,130.1455027001154,104.94717758892165,0.0,0,0.0,,,,,,
84.99416739578993,2.215648794709417,131.30032857099758,130.1455027001154,106.21537089042472,0.0,0,0.0,,,,,,
85.99416739578993,2.225007755713267,132.30032857099758,130.1455027001154,107.4835641919278,0.0,0,0.0,,,,,,
86.99416739578993,2.2342569384296325,133.30032857099758,130.1455027001154,108.75175749343087,0.0,0,0.0,,,,,,
87.99416739578993,2.2433988883446725,134.30032857099758,130.1455027001154,110.01995079493395,0.0,0,0.0,,,,,,
88.99416739578993,2.252436063423974,135.30032857099758,130.1455027001154,111.28814409643702,0.0,0,0.0,,,,,,
89.99416739578993,2.2613708380793422,136.30032857099758,130.1455027001154,112.5563373979401,0.0,0,0.0,,,,,,
90.99416739578993,2.2702055069133698,137.30032857099758,130.1455027001154,113.82453069944317,0.0,0,0.0,,,,,,
91.99416739578993,2.278942288256557,138.30032857099758,130.1455027001154,115.09272400094625,0.0,0,0.0,,,,,,
92.99416739578993,2.2875833275106268,139.30032857099758,130.1455027001154,116.36091730244932,0.0,0,0.0,,,,,,
93.99416739578993,2.2961307003106337,140.30032857099758,130.1455027001154,117.6291106039524,0.0,0,0.0,,,,,,
94.99416739578993,2.3045864155175306,141.30032857099758,130.1455027001154,118.89730390545547,0.0,0,0.0,,,,,,
95.99416739578993,2.3129524180519843,142.30032857099758,130.1455027001154,120.16549720695855,0.0,0,0.0,,,,,,
96.99416739578993,2.3212305915794373,143.30032857099758,130.1455027001154,121.43369050846162,0.0,0,0.0,,,,,,
97.99416739578993,2.329422761055695,144.30032857099758,130.1455027001154,122.7018838099647,0.0,0,0.0,,,,,,
98.99416739578993,2.337530695141633,145.30032857099758,130.1455027001154,123.97007711146777,0.0,0,0.0,,,,,,
99.99416739578993,2.3455561084950274,146.30032857099758,130.1455027001154,125.23827041297085,0.0,0,0.0,,,,,,
100.99416739578993,2.3535006639469302,147.30032857099758,130.1455027001154,126.50646371447392,0.0,0,0.0,,,,,,
101.99416739578993,2.3613659745694995,148.30032857099758,130.1455027001154,127.774657015977,0.0,0,0.0,,,,,,
102.99416739578993,2.369153605641719,149.30032857099758,130.1455027001154,129.04285031748006,0.0,0,0.0,,,,,,
103.99416739578993,2.3768650765189983,150.30032857099758,130.1455027001154,130.31104361898312,0.0,0,0.0,,,,,,
104.99416739578993,2.3845018624122365,151.30032857099758,130.1455027001154,131.57923692048618,0.0,0,0.0,,,,,,
105.99416739578993,2.392065396081563,152.30032857099758,130.1455027001154,132.84743022198924,0.0,0,0.0,,,,,,
106.99416739578993,2.3995570694496196,153.30032857099758,130.1455027001154,134.1156235234923,0.0,0,0.0,,,,,,
107.99416739578993,2.4069782351389204,154.30032857099758,130.1455027001154,135.38381682499536,0.0,0,0.0,,,,,,
108.99416739578993,2.4143302079375495,155.30032857099758,130.1455027001154,136.65201012649842,0.0,0,0.0,,,,,,
109.99416739578993,2.421614266197156,156.30032857099758,130.1455027001154,137.92020342800149,0.0,0,0.0,,,,,,
110.99416739578993,2.428831653166969,157.30032857099758,130.1455027001154,139.18839672950455,0.0,0,0.0,,,,,,
111.99416739578993,2.435983578267321,158.30032857099758,130.1455027001154,140.4565900310076,0.0,0,0.0,,,,,,
112.99416739578993,2.4430712183059264,159.30032857099758,130.1455027001154,141.72478333251067,0.0,0,0.0,,,,,,
113.99416739578993,2.4500957186399948,160.30032857099758,130.1455027001154,142.99297663401373,0.0,0,0.0,,,,,,
114.99416739578993,2.457058194287029,161.30032857099758,130.1455027001154,144.2611699355168,0.0,0,0.0,,,,,,
115.99416739578993,2.4639597309870194,162.30032857099758,130.1455027001154,145.52936323701985,0.0,0,0.0,,,,,,
116.99416739578993,2.4708013862185516,163.30032857099758,130.1455027001154,146.7975565385229,0.0,0,0.0,,,,,,
117.99416739578993,2.4775841901712155,164.30032857099758,130.1455027001154,148.06574984002597,0.0,0,0.0,,,,,,
118.99416739578993,2.4843091466765475,165.30032857099758,130.1455027001154,149.33394314152903,0.0,0,0.0,,,,,,
119.99416739578993,2.490977234099608,166.30032857099758,130.1455027001154,150.6021364430321,0.0,0,0.0,,,,,,
120.99416739578993,2.4975894061931823,167.30032857099758,130.1455027001154,151.87032974453516,0.0,0,0.0,,,,,,
121.99416739578993,2.504146592916458,168.30032857099758,130.1455027001154,153.13852304603822,0.0,0,0.0,,,,,,
122.99416739578993,2.510649701219951,169.30032857099758,130.1455027001154,154.40671634754128,0.0,0,0.0,,,,,,
123.7088079657992,2.5153057292124004,170.0,130.0,152.56762795114352,0.0,0,0.0,,,,,,
124.7088079657992,2.5219159487765834,171.0,130.0,149.9941826786845,0.0,0,0.0,,,,,,
125.7088079657992,2.5286405609763647,172.0,130.0,147.42073740622547,0.0,0,0.0,,,,,,
126.7088079657992,2.535483594759936,173.0,130.0,144.84729213376644,0.0,0,0.0,,,,,,
127.7088079657992,2.5424492957424554,174.0,130.0,142.27384686130742,0.0,0,0.0,,,,,,
128.7088079657992,2.5495421420253797,175.0,130.0,139.7004015888484,0.0,0,0.0,,,,,,
129.7088079657992,2.556766861486397,176.0,130.0,137.12695631638937,0.0,0,0.0,,,,,,
130.7088079657992,2.564128450707117,177.0,130.0,134.55351104393034,0.0,0,0.0,,,,,,
131.7088079657992,2.571632195728275,178.0,130.0,131.98006577147132,0.0,0,0.0,,,,,,
132.7088079657992,2.579283694848358,179.0,130.0,129.4066204990123,0.0,0,0.0,,,,,,
133.7088079657992,2.587088883711926,180.0,130.0,126.83317522655327,0.0,0,0.0,,,,,,
134.7088079657992,2.5950540629692256,181.0,130.0,124.25972995409424,0.0,0,0.0,,,,,,
135.7088079657992,2.60318592882996,182.0,130.0,121.68628468163521,0.0,0,0.0,,,,,,
136.7088079657992,2.6114916068823675,183.0,130.0,119.11283940917619,0.0,0,0.0,,,,,,
137.7088079657992,2.6199786896055213,184.0,130.0,116.53939413671716,0.0,0,0.0,,,,,,
138.7088079657992,2.62865527806964,185.0,130.0,113.96594886425814,0.0,0,0.0,,,,,,
139.7088079657992,2.637530028398297,186.0,130.0,111.39250359179911,0.0,0,0.0,,,,,,
140.7088079657992,2.6466122036603164,187.0,130.0,108.81905831934009,0.0,0,0.0,,,,,,
141.7088079657992,2.6559117319710093,188.0,130.0,106.24561304688106,0.0,0,0.0,,,,,,
142.7088079657992,2.665439271716213,189.0,130.0,103.67216777442204,0.0,0,0.0,,,,,,
143.7088079657992,2.6752062849733247,190.0,130.0,101.09872250196301,0.0,0,0.0,,,,,,
144.7088079657992,2.685225120397374,191.0,130.0,98.52527722950398,0.0,0,0.0,,,,,,
145.7088079657992,2.6955091070751145,192.0,130.0,95.95183195704496,0.0,0,0.0,,,,,,
146.7088079657992,2.706072661136105,193.0,130.0,93.37838668458593,0.0,0,0.0,,,,,,
147.7088079657992,2.716931407259694,194.0,130.0,90.80494141212691,0.0,0,0.0,,,,,,
148.7088079657992,2.7281023176472594,195.0,130.0,88.23149613966788,0.0,0,0.0,,,,,,
149.7088079657992,2.739603871561371,196.0,130.0,85.65805086720886,0.0,0,0.0,,,,,,
150.7088079657992,2.7514562391958157,197.0,130.0,83.08460559474983,0.0,0,0.0,,,,,,
151.7088079657992,2.7636814944693184,198.0,130.0,80.5111603222908,0.0,0,0.0,,,,,,
152.7088079657992,2.776303862380122,199.0,130.0,77.93771504983178,0.0,0,0.0,,,,,,
153.7088079657992,2.7893500078834195,200.0,130.0,75.36426977737275,0.0,0,0.0,,,,,,
154.7088079657992,2.8028493749466223,201.0,130.0,72.79082450491373,0.0,0,0.0,,,,,,
155.7088079657992,2.816834586617926,202.0,130.0,70.2173792324547,0.0,0,0.0,,,,,,
156.7088079657992,2.8313419197753293,203.0,130.0,67.64393395999568,0.0,0,0.0,,,,,,
157.7088079657992,2.8464118719335185,204.0,130.0,65.07048868753665,0.0,0,0.0,,,,,,
158.7088079657992,2.862089842393833,205.0,130.0,62.497043415077634,0.0,0,0.0,,,,,,
159.7088079657992,2.8784269565810465,206.0,130.0,59.923598142618616,0.0,0,0.0,,,,,,
160.7088079657992,2.8954810712719126,207.0,130.0,57.3501528701596,0.0,0,0.0,,,,,,
161.7088079657992,2.9133180105356606,208.0,130.0,54.77670759770058,0.0,0,0.0,,,,,,
162.7088079657992,2.9320130989848403,209.0,130.0,52.20326232524156,0.0,0,0.0,,,,,,
163.7088079657992,2.9516530824972276,210.0,130.0,49.62981705278254,0.0,0,0.0,,,,,,
164.7088079657992,2.9723385601661456,211.0,130.0,47.05637178032352,0.0,0,0.0,,,,,,
165.7088079657992,2.9941870999452416,212.0,130.0,44.482926507864505,0.0,0,0.0,,,,,,
166.7088079657992,3.017337282377283,213.0,130.0,41.90948123540549,0.0,0,0.0,,,,,,
167.7088079657992,3.0419540251708233,214.0,130.0,39.33603596294647,0.0,0,-0.0,,,,,,
168.7088079657992,3.0682357084015646,215.0,130.0,36.76259069048745,0.0,0,-0.0,,,,,,
169.7088079657992,3.096423884050165,216.0,130.0,34.18914541802843,0.0,0,-0.0,,,,,,
170.7088079657992,3.1268167826713933,217.0,130.0,31.61570014556941,0.0,0,-0.0,,,,,,
171.7088079657992,3.159788550337878,218.0,130.0,29.042254873110387,0.0,0,-0.0,,,,,,
172.7088079657992,3.1958174036657643,219.0,130.0,26.468809600651365,0.0,0,-0.0,,,,,,
173.7088079657992,3.235528171141583,220.0,130.0,23.895364328192343,0.0,0,-0.0,,,,,,
174.7088079657992,3.279759045938254,221.0,130.0,21.32191905573332,0.0,0,-0.0,,,,,,
175.7088079657992,3.329671209465961,222.0,130.0,18.7484737832743,0.0,0,-0.0,,,,,,
176.7088079657992,3.3869392343953644,223.0,130.0,16.175028510815277,0.0,0,-0.0,,,,,,
177.7088079657992,3.4541060435960667,224.0,130.0,13.601583238356255,0.0,0,0.0,,,,,,
178.7088079657992,3.5322262122348405,225.0,130.0,12.0,0.0,0,0.0,,,,,,
179.7088079657992,3.615559545568174,226.0,130.0,12.0,0.0,0,0.0,,,,,,
180.7088079657992,3.6988928789015074,227.0,130.0,12.0,0.0,0,0.0,,,,,,
181.7088079657992,3.782226212234841,228.0,130.0,12.0,0.0,0,0.0,,,,,,
182.7088079657992,3.8655595455681744,229.0,130.0,12.0,0.0,0,0.0,,,,,,
183.7088079657992,4.032226212234841,230.0,130.0,0.0,0.0,0,0.0,,,,,,
